,course,rating,students,level,university,skills
860,2.- El Cálculo - Modelo Cuadrático,4.8,16 mil,Mixed,Tecnológico de Monterrey,Python
1955,2.- El Cálculo - Modelo Cuadrático,4.8,16 mil,Mixed,Tecnológico de Monterrey,Machine Learning
764,AI Capstone Project with Deep Learning,4.5,10 mil,Advanced,IBM,Python
1704,AI Capstone Project with Deep Learning,4.5,10 mil,Advanced,IBM,Machine Learning
1368,AI For Everyone,4.8,750 mil,Beginner,DeepLearning.AI,Machine Learning
2173,AI For Everyone,4.8,750 mil,Beginner,DeepLearning.AI,Java
1434,AI For Everyone （すべての人のためのAIリテラシー講座）,4.8,18 mil,Beginner,DeepLearning.AI,Machine Learning
2644,AI For Everyone （すべての人のためのAIリテラシー講座）,4.8,18 mil,Beginner,DeepLearning.AI,Java
987,AI Workflow: AI in Production,4.5,"2,6 mil",Advanced,IBM,Python
1817,AI Workflow: AI in Production,4.5,"2,6 mil",Advanced,IBM,Machine Learning
2431,AI Workflow: AI in Production,4.5,"2,6 mil",Advanced,IBM,Java
784,AI Workflow: Business Priorities and Data Ingestion,4.3,"4,7 mil",Intermediate,IBM,Python
2062,AI Workflow: Business Priorities and Data Ingestion,4.3,"4,7 mil",Intermediate,IBM,Machine Learning
806,AI Workflow: Data Analysis and Hypothesis Testing,4.2,3 mil,Advanced,IBM,Python
2072,AI Workflow: Data Analysis and Hypothesis Testing,4.2,3 mil,Advanced,IBM,Machine Learning
827,AI Workflow: Enterprise Model Deployment,4.1,"2,1 mil",Advanced,IBM,Python
2082,AI Workflow: Enterprise Model Deployment,4.1,"2,1 mil",Advanced,IBM,Machine Learning
986,AI Workflow: Feature Engineering and Bias Detection,4.4,"2,8 mil",Advanced,IBM,Python
1816,AI Workflow: Feature Engineering and Bias Detection,4.4,"2,8 mil",Advanced,IBM,Machine Learning
826,"AI Workflow: Machine Learning, Visual Recognition and NLP",4.4,"3,1 mil",Advanced,IBM,Python
1277,"AI Workflow: Machine Learning, Visual Recognition and NLP",4.4,"3,1 mil",Advanced,IBM,Machine Learning
903,AI for Medical Diagnosis,4.7,50 mil,Intermediate,DeepLearning.AI,Python
1378,AI for Medical Diagnosis,4.7,50 mil,Intermediate,DeepLearning.AI,Machine Learning
721,AI for Medical Prognosis,4.7,19 mil,Intermediate,DeepLearning.AI,Python
1547,AI for Medical Prognosis,4.7,19 mil,Intermediate,DeepLearning.AI,Machine Learning
681,AI for Medicine,4.7,53 mil,Intermediate,DeepLearning.AI,Python
1428,AI for Medicine,4.7,53 mil,Intermediate,DeepLearning.AI,Machine Learning
720,AI for Scientific Research,3.3,"1,7 mil",Beginner,LearnQuest,Python
2042,AI for Scientific Research,3.3,"1,7 mil",Beginner,LearnQuest,Machine Learning
2116,AI、機械学習、ディープラーニングのための TensorFlow 入門,None,None,Intermediate,DeepLearning.AI,Machine Learning
2905,AI、機械学習、ディープラーニングのための TensorFlow 入門,None,None,Intermediate,DeepLearning.AI,Java
1017,Absolute Basics of COBOL,None,None,Beginner,Coursera Project Network,Python
2536,Absolute Basics of COBOL,None,None,Beginner,Coursera Project Network,Java
719,Accounting Data Analytics,4.7,29 mil,Intermediate,University of Illinois at Urbana-Champaign,Python
1540,Accounting Data Analytics,4.7,29 mil,Intermediate,University of Illinois at Urbana-Champaign,Machine Learning
2630,Accounting Data Analytics,4.7,29 mil,Intermediate,University of Illinois at Urbana-Champaign,Java
398,Accounting Data Analytics with Python,4.1,"8,6 mil",Intermediate,University of Illinois at Urbana-Champaign,Python
2086,Accounting Data Analytics with Python,4.1,"8,6 mil",Intermediate,University of Illinois at Urbana-Champaign,Machine Learning
118,Administrasi Sistem dan Layanan Infrastruktur TI,5,None,Beginner,Google,MongoDB
2671,Administrasi Sistem dan Layanan Infrastruktur TI,5,None,Beginner,Google,Java
207,Advanced Business Analytics,4.6,210 mil,Intermediate,University of Colorado Boulder,Tableau
1448,Advanced Business Analytics,4.6,210 mil,Intermediate,University of Colorado Boulder,Machine Learning
713,Advanced Computer Vision with TensorFlow,4.8,16 mil,Intermediate,DeepLearning.AI,Python
1520,Advanced Computer Vision with TensorFlow,4.8,16 mil,Intermediate,DeepLearning.AI,Machine Learning
295,Advanced Data Science with IBM,4.3,110 mil,Advanced,IBM,Python
1432,Advanced Data Science with IBM,4.3,110 mil,Advanced,IBM,Machine Learning
782,Advanced Deployment Scenarios with TensorFlow,4.7,15 mil,Intermediate,DeepLearning.AI,Python
1759,Advanced Deployment Scenarios with TensorFlow,4.7,15 mil,Intermediate,DeepLearning.AI,Machine Learning
654,Advanced Django: Advanced Django Rest Framework,None,None,Advanced,Codio,Python
2436,Advanced Django: Advanced Django Rest Framework,None,None,Advanced,Codio,Java
633,Advanced Django: Mastering Django and Django Rest Framework,4.8,"1,9 mil",Advanced,Codio,Python
2392,Advanced Django: Mastering Django and Django Rest Framework,4.8,"1,9 mil",Advanced,Codio,Java
639,Advanced Machine Learning and Signal Processing,4.5,39 mil,Advanced,IBM,Python
1211,Advanced Machine Learning and Signal Processing,4.5,39 mil,Advanced,IBM,Machine Learning
692,Advanced Machine Learning on Google Cloud,4.4,69 mil,Advanced,Google Cloud,Python
1155,Advanced Machine Learning on Google Cloud,4.4,69 mil,Advanced,Google Cloud,Machine Learning
603,Advanced Statistics for Data Science,4.4,95 mil,Advanced,Johns Hopkins University,Python
