,course,rating,students,level,university,skills
1000,AI For Everyone,4.8,750 mil,Beginner,DeepLearning.AI,Machine Learning
1300,AI For Everyone,4.8,750 mil,Beginner,DeepLearning.AI,Java
733,AI for Medical Prognosis,4.7,19 mil,Intermediate,DeepLearning.AI,Python
1184,AI for Medical Prognosis,4.7,19 mil,Intermediate,DeepLearning.AI,Machine Learning
687,AI for Medicine,4.7,53 mil,Intermediate,DeepLearning.AI,Python
1063,AI for Medicine,4.7,53 mil,Intermediate,DeepLearning.AI,Machine Learning
722,Accounting Data Analytics,4.7,29 mil,Intermediate,University of Illinois at Urbana-Champaign,Python
1153,Accounting Data Analytics,4.7,29 mil,Intermediate,University of Illinois at Urbana-Champaign,Machine Learning
209,Advanced Business Analytics,4.6,210 mil,Intermediate,University of Colorado Boulder,Tableau
1081,Advanced Business Analytics,4.6,210 mil,Intermediate,University of Colorado Boulder,Machine Learning
723,Advanced Computer Vision with TensorFlow,4.8,16 mil,Intermediate,DeepLearning.AI,Python
1154,Advanced Computer Vision with TensorFlow,4.8,16 mil,Intermediate,DeepLearning.AI,Machine Learning
300,Advanced Data Science with IBM,4.3,110 mil,Advanced,IBM,Python
1068,Advanced Data Science with IBM,4.3,110 mil,Advanced,IBM,Machine Learning
662,Advanced Django: Advanced Django Rest Framework,None,None,Advanced,Codio,Python
1575,Advanced Django: Advanced Django Rest Framework,None,None,Advanced,Codio,Java
311,Advanced Machine Learning,4.4,350 mil,Advanced,HSE University,Python
778,Advanced Machine Learning,4.4,350 mil,Advanced,HSE University,Machine Learning
646,Advanced Machine Learning and Signal Processing,4.5,39 mil,Advanced,IBM,Python
845,Advanced Machine Learning and Signal Processing,4.5,39 mil,Advanced,IBM,Machine Learning
698,Advanced Machine Learning on Google Cloud,4.4,69 mil,Advanced,Google Cloud,Python
786,Advanced Machine Learning on Google Cloud,4.4,69 mil,Advanced,Google Cloud,Machine Learning
610,Advanced Statistics for Data Science,4.4,94 mil,Advanced,Johns Hopkins University,Python
1008,Advanced Statistics for Data Science,4.4,94 mil,Advanced,Johns Hopkins University,Machine Learning
699,Analista de Datos de IBM,4.4,11 mil,Beginner,IBM,Python
1094,Analista de Datos de IBM,4.4,11 mil,Beginner,IBM,Machine Learning
708,Analyze Datasets and Train ML Models using AutoML,4.5,14 mil,Advanced,DeepLearning.AI,Python
1112,Analyze Datasets and Train ML Models using AutoML,4.5,14 mil,Advanced,DeepLearning.AI,Machine Learning
599,Applied Data Science,4.6,500 mil,Beginner,IBM,Python
1029,Applied Data Science,4.6,500 mil,Beginner,IBM,Machine Learning
275,Applied Data Science with Python,4.5,800 mil,Intermediate,University of Michigan,Python
776,Applied Data Science with Python,4.5,800 mil,Intermediate,University of Michigan,Machine Learning
346,Applied Machine Learning in Python,4.6,250 mil,Intermediate,University of Michigan,Python
794,Applied Machine Learning in Python,4.6,250 mil,Intermediate,University of Michigan,Machine Learning
