,course,rating,students,level,university,skills
0,Java Programming and Software Engineering Fundamentals,4.6,690 mil,Beginner,Duke University,Java
1,Object Oriented Programming in Java,4.6,510 mil,Beginner,Duke University,Java
2,Core Java,4.6,24 mil,Intermediate,LearnQuest,Java
3,Introduction to Programming with Python and Java,4.4,35 mil,Beginner,University of Pennsylvania,Java
4,Object Oriented Java Programming: Data Structures and Beyond,4.7,330 mil,Intermediate,University of California San Diego,Java
5,Introduction to Java,4.6,22 mil,Beginner,LearnQuest,Java
6,Introduction to Java and Object-Oriented Programming,4.3,"9,8 mil",Beginner,University of Pennsylvania,Java
7,"Parallel, Concurrent, and Distributed Programming in Java",4.6,48 mil,Intermediate,Rice University,Java
8,"Algorithms, Part I",4.9,920 mil,Intermediate,Princeton University,Java
9,Introducción a Java,4.2,130 mil,Beginner,Universidad Nacional Autónoma de México,Java
10,IBM Full Stack Cloud Developer,4.6,470 mil,Beginner,IBM,Java
11,Modern Application Development with Java on AWS,4.8,83 mil,Beginner,Amazon Web Services,Java
12,Java Programming: Solving Problems with Software,4.6,300 mil,Beginner,Duke University,Java
13,Java程序设计,4.7,26 mil,Intermediate,Peking University,Java
14,Object Oriented Programming in Java,4.7,250 mil,Intermediate,University of California San Diego,Java
15,Spring Framework,3.7,"5,7 mil",Beginner,LearnQuest,Java
16,Software Design and Architecture,4.6,130 mil,Beginner,University of Alberta,Java
17,Computer Science: Programming with a Purpose,4.7,150 mil,Beginner,Princeton University,Java
18,Object-Oriented Programming with Java,4.5,21 mil,Intermediate,Coursera Project Network,Java
19,Lambda Expressions with Java,None,None,Intermediate,Coursera Project Network,Java
20,Programming in Java: A Hands-on Introduction,4.2,3 mil,Beginner,Codio,Java
21,Advanced Data Structures in Java,4.8,74 mil,Intermediate,University of California San Diego,Java
22,Initiation à la programmation (en Java),4.8,35 mil,Beginner,École Polytechnique Fédérale de Lausanne,Java
23,Deploying Java-Maven Application With Jenkins CI/CD Tool,4.4,None,Beginner,Coursera Project Network,Java
24,Computer Architecture,4.8,180 mil,Advanced,Princeton University,Java
25,Secure Coding Practices,4.5,21 mil,Intermediate,"University of California, Davis",Java
26,Orientação a Objetos com Java,4.8,57 mil,Intermediate,Instituto Tecnológico de Aeronáutica,Java
27,Exploiting and Securing Vulnerabilities in Java Applications,4.5,"5,5 mil",Intermediate,"University of California, Davis",Java
28,"HTML, CSS, and Javascript for Web Developers",4.7,690 mil,Mixed,Johns Hopkins University,Java
29,Intermediate Object-Oriented Programming with Java,4.7,"3,2 mil",Intermediate,Coursera Project Network,Java
30,AI For Everyone,4.8,750 mil,Beginner,DeepLearning.AI,Java
31,Building Modern Java Applications on AWS,4.6,"8,7 mil",Intermediate,Amazon Web Services,Java
32,Java for Android,4.5,190 mil,Beginner,Vanderbilt University,Java
33,Kotlin for Java Developers,4.7,84 mil,Intermediate,JetBrains,Java
34,Building Scalable Java Microservices with Spring Boot and Spring Cloud,4.3,66 mil,Intermediate,Google Cloud,Java
35,Introduction to C# Programming and Unity,4.6,86 mil,Beginner,University of Colorado System,Java
36,"Algorithms, Part II",4.9,250 mil,Intermediate,Princeton University,Java
37,Introduction à la programmation orientée objet (en Java),4.8,22 mil,Intermediate,École Polytechnique Fédérale de Lausanne,Java
