,course,rating,students,level,university,skills
0,Learn SQL Basics for Data Science,4.6,400 mil,Beginner,"University of California, Davis",MySQL
1,Excel to MySQL: Analytic Techniques for Business,4.6,660 mil,Beginner,Duke University,MySQL
2,Introduction to Structured Query Language (SQL),4.8,140 mil,Intermediate,University of Michigan,MySQL
3,Managing Big Data with MySQL,4.7,170 mil,Mixed,Duke University,MySQL
4,Building a Dynamic Web App using PHP & MySQL,4.4,"5,8 mil",Beginner,Coursera Project Network,MySQL
5,Introduction to Relational Database and SQL,4.6,28 mil,Beginner,Coursera Project Network,MySQL
6,SQL for Data Science,4.6,390 mil,Beginner,"University of California, Davis",MySQL
7,Complex Retrieval Queries in MySQL Workbench,4.3,None,Intermediate,Coursera Project Network,MySQL
8,Building a Company’s database using MySQL and SQL,4.5,None,Beginner,Coursera Project Network,MySQL
9,Introduction to Relational Databases (RDBMS),4.6,"8,6 mil",Beginner,IBM,MySQL
10,Create a Python Application using MySQL,4.5,5 mil,Intermediate,Coursera Project Network,MySQL
11,Analyzing Big Data with SQL,4.9,22 mil,Beginner,Cloudera,MySQL
12,Create a Database with the Modeling Tool in MySQL Workbench,4.7,"1,9 mil",Beginner,Coursera Project Network,MySQL
13,Clean Data in SQL using MySQL Workbench,None,None,Intermediate,Coursera Project Network,MySQL
14,Data Science Math Skills,4.5,300 mil,Beginner,Duke University,MySQL
15,Working with MySQL DB instance using AWS RDS,4.7,None,Beginner,Coursera Project Network,MySQL
16,Simple Retrieval Queries in MySQL Workbench,4.6,2 mil,Beginner,Coursera Project Network,MySQL
17,Build Messenger Clone Using PHP and MySQL,None,None,Intermediate,Coursera Project Network,MySQL
18,Using MySQL Database with PHP,None,None,Intermediate,Coursera Project Network,MySQL
19,MySQL with Information Technology,4.9,None,Beginner,Coursera Project Network,MySQL
20,Data Manipulation and Management using MYSQL Workbench,None,None,Beginner,Coursera Project Network,MySQL
21,Sort and Filter Data in SQL using MySQL Workbench,None,None,Intermediate,Coursera Project Network,MySQL
22,MySQL تكنولوجيا المعلومات مع,None,None,Beginner,Coursera Project Network,MySQL
23,Database Creation and Modeling using MYSQL Workbench,5,None,Beginner,Coursera Project Network,MySQL
24,MYSQL Workbench إنشاء و تصميم قواعد البيانات باستخدام,None,None,Beginner,Coursera Project Network,MySQL
25,Aggregate Data in SQL using MySQL Workbench,None,None,Intermediate,Coursera Project Network,MySQL
26,Validate Data in SQL using MySQL Workbench,None,None,Intermediate,Coursera Project Network,MySQL
27,Calculate Data in SQL using MySQL Workbench,None,None,Beginner,Coursera Project Network,MySQL
28,Relational Databases - MySQL - قواعد البيانات العلائقية,None,None,Beginner,Coursera Project Network,MySQL
29,Microsoft Azure Relational Databases,4.9,None,Beginner,Microsoft,MySQL
30,Deploy a Wordpress Website in AWS EC2,4.7,"1,8 mil",Intermediate,Coursera Project Network,MySQL
31,Database Management Essentials,4.6,170 mil,Intermediate,University of Colorado System,MySQL
32,Intermediate Relational Database and SQL,4.4,11 mil,Intermediate,Coursera Project Network,MySQL
33,Building Web Applications in PHP,4.7,130 mil,Intermediate,University of Michigan,MySQL
34,Google Cloud Big Data and Machine Learning Fundamentals 日本語版,4.5,"4,5 mil",Intermediate,Google Cloud,MySQL
35,"Data Warehouse Concepts, Design, and Data Integration",4.4,56 mil,Mixed,University of Colorado System,MySQL
36,Building Database Applications in PHP,4.9,41 mil,Intermediate,University of Michigan,MySQL
37,Google Cloud Big Data and Machine Learning Fundamentals en Français,4.3,2 mil,Intermediate,Google Cloud,MySQL
38,Google Cloud Big Data and Machine Learning Fundamentals en Español,4.7,18 mil,Intermediate,Google Cloud,MySQL
39,Relational database systems,4.4,20 mil,Intermediate,Universidad Nacional Autónoma de México,MySQL
40,SQL Joins,4.7,"2,9 mil",Beginner,Coursera Project Network,MySQL
41,Data-Driven Testing (via Database) with Selenium & TestNG,4.9,None,Intermediate,Coursera Project Network,MySQL
42,Google Cloud Platform Big Data and Machine Learning Fundamentals em Português Brasileiro,4.8,2 mil,Intermediate,Google Cloud,MySQL
43,Business intelligence and data warehousing,3.9,11 mil,Intermediate,Universidad Nacional Autónoma de México,MySQL
44,Increasing Real Estate Management Profits: Harnessing Data Analytics,4.7,13 mil,Mixed,Duke University,MySQL
45,Cloud Computing Security,4.6,13 mil,Beginner,University of Colorado System,MySQL
46,Introduction To Java Database Connectivity - JDBC,4.3,None,Advanced,Coursera Project Network,MySQL
47,Introducción a las bases relacionales SQL,None,None,Beginner,Coursera Project Network,MySQL
48,Learn PHP Database Connectivity,4.7,None,Intermediate,Coursera Project Network,MySQL
49,Create your first Amazon Aurora Database in AWS,4.8,None,Intermediate,Coursera Project Network,MySQL
50,How to Use SQL with Large Datasets,None,None,Intermediate,Coursera Project Network,MySQL
51,Combine Multiple Pieces of Data in SQL,None,None,Intermediate,Coursera Project Network,MySQL
52,تعليم مبادئ ال SQL Syntax,None,None,Beginner,Coursera Project Network,MySQL
53,Data-Driven Testing (via Database) with Selenium & Nunit,None,None,Intermediate,Coursera Project Network,MySQL
54,Set up your dev environment for LAMP web developers on Linux,None,None,Intermediate,Coursera Project Network,MySQL
55,Introdução à base de dados relacionais e SQL,None,None,Beginner,Coursera Project Network,MySQL
