,course,rating,students,level,university,skills
0,Data Visualization with Tableau,4.5,170 mil,Beginner,"University of California, Davis",Tableau
1,Google Data Analytics,4.8,740 mil,Beginner,Google,Tableau
2,Data Visualization and Communication with Tableau,4.7,200 mil,Mixed,Duke University,Tableau
3,Excel to MySQL: Analytic Techniques for Business,4.6,660 mil,Beginner,Duke University,Tableau
4,Fundamentals of Visualization with Tableau,4.5,150 mil,Beginner,"University of California, Davis",Tableau
5,Visualizing Citibike Trips with Tableau,4.6,17 mil,Beginner,Coursera Project Network,Tableau
6,Use Tableau for Your Data Science Workflow,4.6,None,Beginner,"University of California, Irvine",Tableau
7,Advanced Business Analytics,4.6,210 mil,Intermediate,University of Colorado Boulder,Tableau
8,Creating Dashboards and Storytelling with Tableau,4.6,41 mil,Beginner,"University of California, Davis",Tableau
9,Create a Big Number KPI Dashboard in Tableau Public,3.4,None,Intermediate,Coursera Project Network,Tableau
10,Creating an Interactive KPI Management Dashboard in Tableau,4.3,None,Beginner,Coursera Project Network,Tableau
11,Analyze City Data Using R and Tableau,4,None,Intermediate,University of Illinois at Urbana-Champaign,Tableau
12,Master the Art of Data Visualization With Tableau Public,4.2,None,Intermediate,Coursera Project Network,Tableau
13,Create a Story in Tableau Public,4.5,None,Intermediate,Coursera Project Network,Tableau
14,Data Visualization with Tableau Project,4.6,24 mil,Intermediate,"University of California, Davis",Tableau
15,Fundamentos de la visualización de datos con Tableau,4.7,None,Beginner,Universidad Austral,Tableau
16,Share Data Through the Art of Visualization,4.5,100 mil,Beginner,Google,Tableau
17,How To Create A Sales Forecast In Tableau,None,None,Intermediate,Coursera Project Network,Tableau
18,Building Stock Returns Heatmap with Tableau,4.6,"2,5 mil",Intermediate,Coursera Project Network,Tableau
19,Create Geovisualizations in Tableau,None,None,Intermediate,Coursera Project Network,Tableau
20,"Foundations: Data, Data, Everywhere",4.8,710 mil,Beginner,Google,Tableau
21,Business Intelligence con la Product Suite di Tableau,None,None,Advanced,Università di Napoli Federico II,Tableau
22,Principios esenciales de diseño en Tableau,4.3,None,Beginner,Universidad Austral,Tableau
23,Essential Design Principles for Tableau,4.4,48 mil,Beginner,"University of California, Davis",Tableau
24,Visual Analytics with Tableau,4.6,44 mil,Beginner,"University of California, Davis",Tableau
25,Create Interactive Graphs in Tableau,None,None,Intermediate,Coursera Project Network,Tableau
26,Analyze Digital Marketing Spend in Tableau,3,None,Intermediate,Coursera Project Network,Tableau
27,Tableau Public for Project Management and Beyond,4.3,"4,1 mil",Beginner,Coursera Project Network,Tableau
28,Data Visualization: Analisi dei dati con Tableau,None,None,Beginner,Università di Napoli Federico II,Tableau
29,Introduzione alla Data Visualization con Tableau,None,None,Beginner,Università di Napoli Federico II,Tableau
30,Google Data Studio - Création de Tableaux de Bords Interactifs,4.4,"2,8 mil",Intermediate,Coursera Project Network,Tableau
31,Building Candlestick Charts with Tableau,4.3,"3,9 mil",Beginner,Coursera Project Network,Tableau
32,Creating an Interactive Graph with Tableau Public,4.6,None,Beginner,Coursera Project Network,Tableau
33,Data Visualization e manipolazione dei dati con Tableau,None,None,Intermediate,Università di Napoli Federico II,Tableau
34,How to Create a Gantt Chart in Tableau,None,None,Intermediate,Coursera Project Network,Tableau
35,نظره عامة عن البيانات المصورة باستخدام Tableau,None,None,Beginner,Coursera Project Network,Tableau
36,How to Visualize Research Data in Tableau,None,None,Intermediate,Coursera Project Network,Tableau
37,Increasing Real Estate Management Profits: Harnessing Data Analytics,4.7,13 mil,Mixed,Duke University,Tableau
38,Facebook Marketing Analytics,4.7,16 mil,Beginner,Meta,Tableau
39,"Aspectos básicos: Datos, datos, en todas partes",4.6,None,Beginner,Google,Tableau
40,Introduction to Data Analytics,3.3,"4,5 mil",Beginner,Meta,Tableau
41,Statistics for Marketing,4.9,"2,1 mil",Beginner,Meta,Tableau
42,Introduction to Accounting Data Analytics and Visualization,4.8,20 mil,Beginner,University of Illinois at Urbana-Champaign,Tableau
43,Data Analysis and Visualization,4.5,"4,1 mil",Beginner,University at Buffalo,Tableau
44,"Grundlagen: Daten, überall Daten",None,None,Beginner,Google,Tableau
45,Data Visualization Best Practices,4.6,None,Mixed,"University of California, Irvine",Tableau
46,Data Storytelling,None,None,Mixed,"University of California, Irvine",Tableau
47,Intro to TensorFlow en Français,3.3,None,Intermediate,Google Cloud,Tableau
48,Compartir datos a través del arte de la visualización,None,None,Beginner,Google,Tableau
49,Introduction à l'analyse de données à l'aide d'Excel,None,None,Mixed,Rice University,Tableau
50,Exploration et production de données pour les entreprises,None,None,Beginner,University of Illinois at Urbana-Champaign,Tableau
51,Ebola : Vaincre ensemble !,4.4,"5,3 mil",Mixed,University of Geneva,Tableau
52,Choosing Which Method Is Best For Illustrating Data,None,None,Beginner,Coursera Project Network,Tableau
53,Understanding Your Google Cloud Costs en Français,None,None,Beginner,Google Cloud,Tableau
54,Surveiller un hôte Linux avec Prometheus-Grafana dans Docker,None,None,Intermediate,Coursera Project Network,Tableau
55,Scripting Bash - Découverte du Langage de Programmation,4.7,None,Intermediate,Coursera Project Network,Tableau
56,Tout Pour Démarrer avec RStudio,None,None,Beginner,Coursera Project Network,Tableau
57,Créer un ingress controller dans Kubernetes avec Traefik,None,None,Intermediate,Coursera Project Network,Tableau
58,Créer un Reverse Proxy pour conteneurs Docker avec Traefik,None,None,Intermediate,Coursera Project Network,Tableau
59,Quelques instructions en PHP,None,None,Beginner,Coursera Project Network,Tableau
60,Tables Statistiques Pour la Publication dans R,None,None,Intermediate,Coursera Project Network,Tableau
61,Comment commencer avec Pinterest Shopping,None,None,Beginner,Coursera Project Network,Tableau
62,Créer un site web Wordpress avec Amazon Lightsail,None,None,Beginner,Coursera Project Network,Tableau
63,Daten über Visualisierungen Teilen,None,None,Beginner,Google,Tableau
64,Utilisation et gestion des pointeurs avec la Programmation C,None,None,Intermediate,Coursera Project Network,Tableau
65,Intégrer des applications dans votre Dashboard Hootsuite,None,None,Beginner,Coursera Project Network,Tableau
66,Créer une scénarimage avec Storyboarder,None,None,Beginner,Coursera Project Network,Tableau
67,Economie du sol et de l'immobilier I,4.7,14 mil,Intermediate,École Polytechnique Fédérale de Lausanne,Tableau
68,Compétences Excel pour l’entreprise : les notions clés,None,None,Beginner,Macquarie University,Tableau
69,Compétences Excel professionnelles : Intermédiaire II,None,None,Intermediate,Macquarie University,Tableau
